2026-04-23 21:23:03,723 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-23 21:23:03,724 | INFO | ui.console.handler | Handling join command
2026-04-23 21:23:03,739 | INFO | ui.console.handler | Player joined game, game id=[f06f0594-5008-41ef-9f5f-af8d5982492a] player id=[1989612f-9dd6-4145-9b57-294313e8c39e] user id=[469ddf88-a77d-4df7-b9cc-81ed79f9f33a]
2026-04-23 21:23:03,740 | INFO | ui.console | Instruction processed
2026-04-23 21:23:15,243 | INFO | ui.console | Raw instruction received: join f06f0594-5008-41ef-9f5f-af8d5982492a 5e952237-062c-4df9-bac9-ed3bd523e6a6
2026-04-23 21:23:15,243 | INFO | ui.console | Parsed instruction task: join
2026-04-23 21:23:15,243 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-23 21:23:15,243 | INFO | ui.console.handler | Handling join command
2026-04-23 21:23:15,259 | INFO | ui.console.handler | Player joined game, game id=[f06f0594-5008-41ef-9f5f-af8d5982492a] player id=[8e3a0df3-b53b-4378-b1cf-390904154969] user id=[5e952237-062c-4df9-bac9-ed3bd523e6a6]
2026-04-23 21:23:15,260 | INFO | ui.console | Instruction processed
2026-04-23 21:26:52,695 | INFO | ui.console | Raw instruction received: ext
2026-04-23 21:26:52,695 | INFO | ui.console | Parsed instruction task: ext
2026-04-23 21:26:52,695 | INFO | ui.console | Console UI exit requested
2026-04-23 21:26:52,695 | INFO | main | Application stopped
2026-04-24 09:25:40,130 | INFO | main | Application starting
2026-04-24 09:25:40,150 | INFO | main | Console app built successfully
2026-04-24 09:25:40,150 | INFO | ui.console | Console UI started
2026-04-24 09:25:49,289 | INFO | ui.console | Raw instruction received: reg loki
2026-04-24 09:25:49,289 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:25:49,289 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:25:49,289 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:25:49,306 | INFO | ui.console.handler | User loki registered and logged in, id=[d62a741d-6c2c-4c72-ab9e-033885fbe827]
2026-04-24 09:25:49,311 | INFO | ui.console | Instruction processed
2026-04-24 09:26:01,552 | INFO | ui.console | Raw instruction received: reg winch
2026-04-24 09:26:01,553 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:26:01,558 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:26:01,558 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:26:01,562 | INFO | ui.console.handler | User winch registered and logged in, id=[ff74ab0d-a76b-46b4-9df0-958af1e09ef1]
2026-04-24 09:26:01,563 | INFO | ui.console | Instruction processed
2026-04-24 09:26:06,754 | INFO | ui.console | Raw instruction received: reg
2026-04-24 09:26:06,754 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:26:06,754 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:26:06,754 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:26:22,115 | INFO | ui.console.handler | User dean registered and logged in, id=[e0ac70a2-4c7c-4029-961c-e4d5b1fc8436]
2026-04-24 09:26:22,116 | INFO | ui.console | Instruction processed
2026-04-24 09:27:16,449 | INFO | ui.console | Raw instruction received: users
2026-04-24 09:27:16,449 | INFO | ui.console | Parsed instruction task: users
2026-04-24 09:27:16,449 | INFO | ui.console.handler | Dispatch command: task=users
2026-04-24 09:27:16,449 | INFO | ui.console.handler | Handling users command
2026-04-24 09:27:16,455 | INFO | ui.console | Instruction processed
2026-04-24 09:27:46,839 | INFO | ui.console | Raw instruction received: ext
2026-04-24 09:27:46,840 | INFO | ui.console | Parsed instruction task: ext
2026-04-24 09:27:46,840 | INFO | ui.console | Console UI exit requested
2026-04-24 09:27:46,840 | INFO | main | Application stopped
2026-04-24 09:28:08,239 | INFO | main | Application starting
2026-04-24 09:28:08,271 | INFO | main | Console app built successfully
2026-04-24 09:28:08,271 | INFO | ui.console | Console UI started
2026-04-24 09:28:12,486 | INFO | ui.console | Raw instruction received: reg loki
2026-04-24 09:28:12,486 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:28:12,486 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:28:12,486 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:28:12,502 | INFO | ui.console.handler | User loki registered and logged in, id=[6d90c43c-9a24-4e82-8e97-f96c8ff2ec0e]
2026-04-24 09:28:12,508 | INFO | ui.console | Instruction processed
2026-04-24 09:28:18,715 | INFO | ui.console | Raw instruction received: reg winch
2026-04-24 09:28:18,715 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:28:18,715 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:28:18,715 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:28:18,729 | INFO | ui.console.handler | User winch registered and logged in, id=[f65a5f71-b20a-46bb-8906-b822b5c2796f]
2026-04-24 09:28:18,730 | INFO | ui.console | Instruction processed
2026-04-24 09:28:26,406 | INFO | ui.console | Raw instruction received: reg
2026-04-24 09:28:26,407 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:28:26,407 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:28:26,407 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:28:31,034 | INFO | ui.console.handler | User dean registered and logged in, id=[b6705f31-3e16-4dd9-9fe3-e89cbc2f5b5d]
2026-04-24 09:28:31,035 | INFO | ui.console | Instruction processed
2026-04-24 09:28:43,118 | INFO | ui.console | Raw instruction received: users
2026-04-24 09:28:43,118 | INFO | ui.console | Parsed instruction task: users
2026-04-24 09:28:43,118 | INFO | ui.console.handler | Dispatch command: task=users
2026-04-24 09:28:43,118 | INFO | ui.console.handler | Handling users command
2026-04-24 09:28:43,123 | INFO | ui.console | Instruction processed
2026-04-24 09:29:00,552 | INFO | ui.console | Raw instruction received: ext
2026-04-24 09:29:00,553 | INFO | ui.console | Parsed instruction task: ext
2026-04-24 09:29:00,553 | INFO | ui.console | Console UI exit requested
2026-04-24 09:29:00,553 | INFO | main | Application stopped
2026-04-24 09:30:41,647 | INFO | main | Application starting
2026-04-24 09:30:41,672 | INFO | main | Console app built successfully
2026-04-24 09:30:41,672 | INFO | ui.console | Console UI started
2026-04-24 09:30:45,192 | INFO | ui.console | Raw instruction received: reg loki
2026-04-24 09:30:45,193 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:30:45,193 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:30:45,193 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:30:45,207 | INFO | ui.console.handler | User loki registered and logged in, id=[c2745a4a-5567-4988-b4c6-f242d059c718]
2026-04-24 09:30:45,212 | INFO | ui.console | Instruction processed
2026-04-24 09:30:53,597 | INFO | ui.console | Raw instruction received: reg winch
2026-04-24 09:30:53,597 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:30:53,597 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:30:53,597 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:30:53,609 | INFO | ui.console.handler | User winch registered and logged in, id=[248a0aea-a7d2-4cfb-a960-8206649ade25]
2026-04-24 09:30:53,610 | INFO | ui.console | Instruction processed
2026-04-24 09:30:58,179 | INFO | ui.console | Raw instruction received: reg dean
2026-04-24 09:30:58,179 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 09:30:58,179 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 09:30:58,179 | INFO | ui.console.handler | Handling reg command
2026-04-24 09:30:58,191 | INFO | ui.console.handler | User dean registered and logged in, id=[cc443bf7-a124-4c4d-9291-2ad9b871fb53]
2026-04-24 09:30:58,191 | INFO | ui.console | Instruction processed
2026-04-24 09:31:01,942 | INFO | ui.console | Raw instruction received: users
2026-04-24 09:31:01,943 | INFO | ui.console | Parsed instruction task: users
2026-04-24 09:31:01,943 | INFO | ui.console.handler | Dispatch command: task=users
